"Keyword","Currency","Avg. monthly searches","Three month change","YoY change","Competition","Competition (indexed value)","Top of page bid (low range)","Top of page bid (high range)","cluster","confidence"
"organiser ses photos numériques","EUR","50","-100%","0%","Unknown","","0","0","photo_organization","high"
"cadeau personnalisé photo","EUR","5000","0%","0%","High","100","0.005332381","0.013389145","gift_personalized","high"
"cadeau anniversaire mariage","EUR","5000","0%","0%","High","100","0.002073034","0.007570045","gift_anniversary","high"
"cadeau fête des mères original","EUR","5000","0%","-90%","High","78","0.001648908","0.005991879","gift_mothers","high"
"cadeau grands parents","EUR","5000","900%","0%","High","100","0.00143929","0.005196765","gift_grandparents","high"
"cadeau noël personnalisé","EUR","500","0%","0%","High","100","0.003379642","0.010375275","gift_personalized","high"
"cadre photo personnalisé","EUR","50000","900%","0%","High","100","0.008625307","0.026488475","physical_products","medium"
"cadre personnalisé","EUR","5000","900%","0%","High","100","0.006941191","0.01789153","physical_products","medium"
"toile photo personnalisé","EUR","5000","0%","0%","High","100","0.009939413","0.03474312","physical_products","medium"
"toile personnalisée","EUR","5000","0%","0%","High","100","0.008385697","0.030920119","physical_products","medium"
"cadeau photo","EUR","5000","900%","0%","High","100","0.006689845","0.019300176","gift_personalized","high"
"photo personnalisé","EUR","5000","0%","0%","High","100","0.007870291","0.02201217","gift_personalized","high"
"cadeau photo personnalisé","EUR","5000","0%","0%","High","100","0.006162703","0.015468046","gift_personalized","high"
"tee shirt personnalisé photo","EUR","5000","0%","0%","High","100","0.005711193","0.013267221","physical_products","medium"
"cadre personnalisé famille","EUR","5000","0%","-90%","High","100","0.004728629","0.015787852","physical_products","medium"
"porte clé photo","EUR","5000","900%","0%","High","100","0.004247454","0.011230373","physical_products","medium"
"porte clés personnalisé photo","EUR","5000","0%","0%","High","100","0.004659517","0.011232003","physical_products","medium"
"plaque spotify personnalisé","EUR","500","900%","0%","High","100","0.005234581","0.01842454","physical_products","medium"
"poster photo personnalisé","EUR","5000","0%","0%","High","100","0.007850731","0.022881611","physical_products","medium"
"cadre famille personnalisé","EUR","5000","0%","0%","High","100","0.003651852","0.012189139","physical_products","medium"
"idee cadeau mariage","EUR","5000","0%","0%","High","100","0.001672706","0.006743635","life_events","medium"
"objet personnalisé photo","EUR","5000","0%","0%","High","100","0.005351615","0.013401533","physical_products","medium"
"photo sur toile personnalisé","EUR","5000","0%","0%","High","100","0.009939413","0.03474312","physical_products","medium"
"t shirt personnalisé photo","EUR","5000","0%","0%","High","100","0.006204105","0.014379858","physical_products","medium"
"boule de noel personnalisé","EUR","5000","900%","0%","High","100","0.003837672","0.008945765","physical_products","medium"
"chaussettes personnalisées photo","EUR","5000","0%","0%","High","100","0.003822676","0.010150987","physical_products","medium"
"toile personnalisée famille","EUR","500","900%","0%","High","100","0.005500271","0.016914834","physical_products","medium"
"boules de noel personnalisées","EUR","5000","0%","0%","High","100","0.003552422","0.008950655","gift_personalized","high"
"idée cadeau fête des mères original","EUR","5000","0%","0%","High","100","0.0008965","0.009054323","gift_mothers","high"
