Keyword,Currency,Avg. monthly searches,Three month change,YoY change,Competition,Competition (indexed value),Top of page bid (low range),Top of page bid (high range)
organiser ses photos numériques,EUR,50,-100%,0%,Unknown,,0,0
cadeau personnalisé photo,EUR,5000,0%,0%,High,100,0.005332381,0.013389145
cadeau anniversaire mariage,EUR,5000,0%,0%,High,100,0.002073034,0.007570045
cadeau fête des mères original,EUR,5000,0%,-90%,High,78,0.001648908,0.005991879
cadeau grands parents,EUR,5000,900%,0%,High,100,0.00143929,0.005196765
cadeau noël personnalisé,EUR,500,0%,0%,High,100,0.003379642,0.010375275
cadre photo personnalisé,EUR,50000,900%,0%,High,100,0.008625307,0.026488475
cadre personnalisé,EUR,5000,900%,0%,High,100,0.006941191,0.01789153
toile photo personnalisé,EUR,5000,0%,0%,High,100,0.009939413,0.03474312
toile personnalisée,EUR,5000,0%,0%,High,100,0.008385697,0.030920119
cadeau photo,EUR,5000,900%,0%,High,100,0.006689845,0.019300176
photo personnalisé,EUR,5000,0%,0%,High,100,0.007870291,0.02201217
cadeau photo personnalisé,EUR,5000,0%,0%,High,100,0.006162703,0.015468046
tee shirt personnalisé photo,EUR,5000,0%,0%,High,100,0.005711193,0.013267221
cadre personnalisé famille,EUR,5000,0%,-90%,High,100,0.004728629,0.015787852
porte clé photo,EUR,5000,900%,0%,High,100,0.004247454,0.011230373
porte clés personnalisé photo,EUR,5000,0%,0%,High,100,0.004659517,0.011232003
plaque spotify personnalisé,EUR,500,900%,0%,High,100,0.005234581,0.01842454
poster photo personnalisé,EUR,5000,0%,0%,High,100,0.007850731,0.022881611
cadre famille personnalisé,EUR,5000,0%,0%,High,100,0.003651852,0.012189139
idee cadeau mariage,EUR,5000,0%,0%,High,100,0.001672706,0.006743635
objet personnalisé photo,EUR,5000,0%,0%,High,100,0.005351615,0.013401533
photo sur toile personnalisé,EUR,5000,0%,0%,High,100,0.009939413,0.03474312
t shirt personnalisé photo,EUR,5000,0%,0%,High,100,0.006204105,0.014379858
boule de noel personnalisé,EUR,5000,900%,0%,High,100,0.003837672,0.008945765
chaussettes personnalisées photo,EUR,5000,0%,0%,High,100,0.003822676,0.010150987
toile personnalisée famille,EUR,500,900%,0%,High,100,0.005500271,0.016914834
boules de noel personnalisées,EUR,5000,0%,0%,High,100,0.003552422,0.008950655
idée cadeau fête des mères original,EUR,5000,0%,0%,High,100,0.0008965,0.009054323
cadre personnalisé couple,EUR,500,900%,0%,High,100,0.005042241,0.011018473
porte clé personnalisé photo,EUR,5000,0%,0%,High,100,0.004858051,0.011343495
idee cadeau photo,EUR,5000,0%,0%,High,100,0.003416806,0.013264613
cadeau anniversaire de mariage,EUR,5000,-90%,-90%,High,100,0.001986644,0.007493435
toile photo personnalisée,EUR,500,0%,0%,High,100,0.011897043,0.042812923
cube photo personnalisé,EUR,500,900%,0%,High,100,0.004172148,0.014842452
toile personnalisée photo,EUR,5000,0%,0%,High,100,0.009939413,0.03474312
cadeau avec photo,EUR,500,900%,0%,High,100,0.004950961,0.013925414
photo cadre personnalisé,EUR,50000,900%,0%,High,100,0.008625307,0.026488475
portrait famille personnalisé,EUR,500,900%,0%,High,100,0.003024954,0.012678465
photo toile personnalisé,EUR,5000,0%,0%,High,100,0.009939413,0.03474312
idee cadeau grand parent,EUR,5000,900%,0%,High,100,0.001192834,0.004571823
chaussettes personnalisées visage,EUR,50,0%,0%,High,100,0.004025448,0.011805437
cadre photo personnalisé original,EUR,500,900%,0%,High,100,0.005973623,0.017757218
cadeaux photo,EUR,5000,900%,0%,High,100,0.006689845,0.019300176
coque personnalisée photo,EUR,500,0%,-90%,High,100,0.004883805,0.011436405
taie d oreiller personnalisée,EUR,500,0%,0%,High,100,0.004634089,0.010367125
tshirt personnalisé photo,EUR,5000,0%,0%,High,100,0.006204105,0.014379858
cadeau noce de coton,EUR,5000,-90%,0%,High,100,0.00169846,0.004963023
cadre photo personnalisé famille,EUR,500,900%,0%,High,100,0.006265067,0.018286968
porte clé photo personnalisé,EUR,5000,0%,0%,High,100,0.004858051,0.011343495
cadeau original fete des meres,EUR,5000,0%,-90%,High,78,0.001648908,0.005991879
cadre photo cadeau,EUR,500,0%,-90%,High,100,0.009772827,0.029822803
cadre personnalise,EUR,5000,900%,0%,High,100,0.006941191,0.01789153
cadre spotify personnalisé,EUR,50,900%,0%,High,100,0.005940045,0.017985744
cadeau photo original,EUR,500,0%,-90%,High,100,0.003877118,0.012499491
cadeau noel personnalisé,EUR,500,0%,0%,High,100,0.003379642,0.010375275
cadeau 1 an de mariage,EUR,5000,0%,0%,High,100,0.002042716,0.007403133
cadeau photo personnalisé original,EUR,500,900%,0%,High,100,0.004681033,0.013146601
poster personnalisé famille,EUR,500,900%,0%,High,100,0.003892114,0.012775287
photo personnalisé cadeau,EUR,5000,0%,0%,High,100,0.006162703,0.015468046
photo plexiglas personnalisé,EUR,50,900%,0%,High,100,0.007517885,0.028311793
cadre naissance personnalisé,EUR,500,0%,-90%,High,100,0.003006372,0.010290189
cadeau personnalisé avec photo,EUR,500,900%,0%,High,100,0.004990733,0.012911881
paillasson personnalisé photo,EUR,500,0%,0%,High,100,0.00419073,0.011533553
objet photo personnalisé,EUR,5000,0%,0%,High,100,0.005351615,0.013401533
cadeau de noel personnalisé,EUR,500,900%,0%,High,100,0.00331216,0.009693609
grand cadre photo personnalisé,EUR,500,900%,0%,High,100,0.008065565,0.024329051
